image,text_a,text_b,label,label_name
IMG_0629.jpeg,5,B R 330 E5 1955 7 v.,2,Out_of_Order
IMG_0629.jpeg,B R 330 E5 1955 7 v.,BR 350 E5 1955,0,In_Order
IMG_0629.jpeg,BR 350 E5 1955,BR 330 E5 1955,1,Duplicate
IMG_0629.jpeg,BR 330 E5 1955,BR 330 E5 1955 v.10,2,Out_of_Order
IMG_0629.jpeg,BR 330 E5 1955 v.10,BR 330 E5 1955 v.11,0,In_Order
IMG_0629.jpeg,BR 330 E5 1955 v.11,BR 330 E5 1955,0,In_Order
IMG_0629.jpeg,BR 330 E5 1955,BR 330,0,In_Order
IMG_0629.jpeg,BR 330,BR 330 E5 1955,2,Out_of_Order
IMG_0630.jpeg,BR 330 E5 1955,BR 330 E5 155,1,Duplicate
IMG_0630.jpeg,BR 330 E5 155,BR 330 E5 1955,1,Duplicate
IMG_0630.jpeg,BR 330 E5 1955,BR 330 E5 1955 V.15,2,Out_of_Order
IMG_0630.jpeg,BR 330 E5 1955 V.15,BR 330 E5 1955 v.16,0,In_Order
IMG_0630.jpeg,BR 330 E5 1955 v.16,BR 330 E5 1955 V.17,0,In_Order
IMG_0630.jpeg,BR 330 E5 1955 V.17,BR 330 E5 1955 V.18,0,In_Order
IMG_0630.jpeg,BR 330 E5 1955 V.18,BR 330 E5 1955 V.19,0,In_Order
IMG_0630.jpeg,BR 330 E5 1955 V.19,BR 330 E5 1955 V.20,0,In_Order
IMG_0630.jpeg,BR 330 E5 1955 V.20,AME,0,In_Order
IMG_0631.jpeg,BR 330 E5 1955 V.18,BR 330 E5 1955 19 V.,2,Out_of_Order
IMG_0631.jpeg,BR 330 E5 1955 19 V.,BR 330 E5 1955 V.20,0,In_Order
IMG_0631.jpeg,BR 330 E5 1955 V.20,BR 330 E5 1955,2,Out_of_Order
IMG_0631.jpeg,BR 330 E5 1955,BR 330 E5 1955,1,Duplicate
IMG_0631.jpeg,BR 330 E5 1955,BR 330 E5 1955,1,Duplicate
IMG_0631.jpeg,BR 330 E5 1955,B! R 5,0,In_Order
IMG_0631.jpeg,B! R 5,BR 330 E5 1955 V.25,1,Duplicate
IMG_0632.jpeg,08 66,OLIN BV 4208 .G7 T44X 1995,2,Out_of_Order
IMG_0632.jpeg,OLIN BV 4208 .G7 T44X 1995,OLIN BV 4208 .G7 W32 2002,0,In_Order
IMG_0632.jpeg,OLIN BV 4208 .G7 W32 2002,OLIN BV 4208 H9 L85 1994z,0,In_Order
IMG_0632.jpeg,OLIN BV 4208 H9 L85 1994z,OLIN BV 4208 .17 I75z 2001,2,Out_of_Order
IMG_0632.jpeg,OLIN BV 4208 .17 I75z 2001,BV 4208 18A78,0,In_Order
IMG_0632.jpeg,BV 4208 18A78,BV 4208 18 B11,0,In_Order
IMG_0632.jpeg,BV 4208 18 B11,OLIN BV 4208 .I8 B659x 2002,0,In_Order
IMG_0632.jpeg,OLIN BV 4208 .I8 B659x 2002,OLIN BV 4208 .18 C66X 1995,2,Out_of_Order
IMG_0632.jpeg,OLIN BV 4208 .18 C66X 1995,OLIN BV 4208 .18 L48 2001,0,In_Order
IMG_0632.jpeg,OLIN BV 4208 .18 L48 2001,BV 4208 18 L63 1989,2,Out_of_Order
IMG_0632.jpeg,BV 4208 18 L63 1989,OLIN BU 4208 .18 M35x 1995,0,In_Order
IMG_0632.jpeg,OLIN BU 4208 .18 M35x 1995,BV 4208 I8 054,0,In_Order
IMG_0632.jpeg,BV 4208 I8 054,OLIN BV 4208 .18 P79x 2000,0,In_Order
IMG_0632.jpeg,OLIN BV 4208 .18 P79x 2000,OO,0,In_Order
IMG_0633.jpeg,OLIN BV 4208 .18 L48 2001,BV 4208 18 L63 1989,2,Out_of_Order
IMG_0633.jpeg,BV 4208 18 L63 1989,OLIN BV 4208 .18 M35x 1995,0,In_Order
IMG_0633.jpeg,OLIN BV 4208 .18 M35x 1995,BV 4208 I8 054,0,In_Order
IMG_0633.jpeg,BV 4208 I8 054,OLIN BV 4208 .18 P79x 2000,0,In_Order
IMG_0633.jpeg,OLIN BV 4208 .18 P79x 2000,OLIN BV 4208 .18 S73 2003,0,In_Order
IMG_0633.jpeg,OLIN BV 4208 .18 S73 2003,BV 4208 18 T48X 1992,0,In_Order
IMG_0633.jpeg,BV 4208 18 T48X 1992,OLIN BV 4208 .M6 P474 2011,0,In_Order
IMG_0633.jpeg,OLIN BV 4208 .M6 P474 2011,OLIN BV 4208 .N4 B67x 1997,0,In_Order
IMG_0633.jpeg,OLIN BV 4208 .N4 B67x 1997,OLIN BV 4208 .N4 S3413 2008,0,In_Order
IMG_0633.jpeg,OLIN BV 4208 .N4 S3413 2008,OLIN BV 4208 .S6 C37 1994,0,In_Order
IMG_0633.jpeg,OLIN BV 4208 .S6 C37 1994,OLIN B1 4208 56 G37 20 024,2,Out_of_Order
IMG_0633.jpeg,OLIN B1 4208 56 G37 20 024,BV 20 S 6 S 6 78,0,In_Order
IMG_0634.jpeg,8 7,OLIN BV 4208 .N4 S3413 2008,2,Out_of_Order
IMG_0634.jpeg,OLIN BV 4208 .N4 S3413 2008,OLIN BV 4208 .S6 C37 1994,0,In_Order
IMG_0634.jpeg,OLIN BV 4208 .S6 C37 1994,OLIN BV 4208 37 2024,0,In_Order
IMG_0634.jpeg,OLIN BV 4208 37 2024,BV 4208 S6 S64 1978,0,In_Order
IMG_0634.jpeg,BV 4208 S6 S64 1978,OLIN BV 4208 .S7 H477 1996z,0,In_Order
IMG_0634.jpeg,OLIN BV 4208 .S7 H477 1996z,OLIN BV 4208 .S8 J640x 1994,0,In_Order
IMG_0634.jpeg,OLIN BV 4208 .S8 J640x 1994,OLIN BV 4208 .U6 B74X 1998,0,In_Order
IMG_0634.jpeg,OLIN BV 4208 .U6 B74X 1998,OLIN BV 4208 .U6 C47X 2001,0,In_Order
IMG_0634.jpeg,OLIN BV 4208 .U6 C47X 2001,OLIN BV 4208 .U6 C48x 1999,0,In_Order
IMG_0635.jpeg,3V 42 G3 C95 c.2,OLIN BV 4208 G3 F79 2010,0,In_Order
IMG_0635.jpeg,OLIN BV 4208 G3 F79 2010,OLIN BV 4208 .G3 G75z 2002,2,Out_of_Order
IMG_0635.jpeg,OLIN BV 4208 .G3 G75z 2002,OLIN BV 4208 .G3 H64X 1993,2,Out_of_Order
IMG_0635.jpeg,OLIN BV 4208 .G3 H64X 1993,BY 4208 G3 K77,0,In_Order
IMG_0635.jpeg,BY 4208 G3 K77,K 4208 G3K7,1,Duplicate
IMG_0635.jpeg,K 4208 G3K7,BV 4208 G3 L75 1969,2,Out_of_Order
IMG_0635.jpeg,BV 4208 G3 L75 1969,4207 C47,2,Out_of_Order
IMG_0635.jpeg,4207 C47,OLIN BV 4208 .G3 M47 2010,2,Out_of_Order
IMG_0636.jpeg,BV 4208 G3K77 乙,BV 4208 G3 L75 1969,2,Out_of_Order
IMG_0636.jpeg,BV 4208 G3 L75 1969,B 4207 C47,2,Out_of_Order
IMG_0636.jpeg,B 4207 C47,OLIN BV 4208 G3 M47 2010,0,In_Order
IMG_0636.jpeg,OLIN BV 4208 G3 M47 2010,OLIN BV 4208 .G3 S27 1996z,0,In_Order
IMG_0636.jpeg,OLIN BV 4208 .G3 S27 1996z,OLIN BV 4208 .G3 S66 2006,0,In_Order
IMG_0636.jpeg,OLIN BV 4208 .G3 S66 2006,OLIN BV 4208 .G3 W47 2020,0,In_Order
IMG_0636.jpeg,OLIN BV 4208 .G3 W47 2020,BV 4208 G7 B64,0,In_Order
IMG_0636.jpeg,BV 4208 G7 B64,208 7 25,0,In_Order
IMG_0636.jpeg,208 7 25,OLIN BV 4208 .G7 D35x 1995,2,Out_of_Order
IMG_0637.jpeg,LIN BV 4208 G3 S66 2006,OLIN BV 4208 .G3 W47 2020,0,In_Order
IMG_0637.jpeg,OLIN BV 4208 .G3 W47 2020,BV 4208 G7 B64,0,In_Order
IMG_0637.jpeg,BV 4208 G7 B64,BV 4208 G7 D25,0,In_Order
IMG_0637.jpeg,BV 4208 G7 D25,OLIN BV 4208 .G7 D35x 1995,2,Out_of_Order
IMG_0637.jpeg,OLIN BV 4208 .G7 D35x 1995,OLIN B V 4: 2G 8 7 E1 4 4 X 9 9 8,0,In_Order
IMG_0637.jpeg,OLIN B V 4: 2G 8 7 E1 4 4 X 9 9 8,OLIN BV 4208 .G7 E54X 2000,2,Out_of_Order
IMG_0637.jpeg,OLIN BV 4208 .G7 E54X 2000,OLIN BV 4208 .G7 F54 2009,0,In_Order
IMG_0637.jpeg,OLIN BV 4208 .G7 F54 2009,BV 4208,0,In_Order
IMG_0637.jpeg,BV 4208,BV 4208 G7 019,2,Out_of_Order
IMG_0638.jpeg,OLIN BX 1622 .Q47 2013 v.7,OLIN BX 1622 S26 2010,0,In_Order
IMG_0638.jpeg,OLIN BX 1622 S26 2010,OLIN BX 1625 .H36 2017,2,Out_of_Order
IMG_0638.jpeg,OLIN BX 1625 .H36 2017,OLIN BX 1628 G67 2005,0,In_Order
IMG_0638.jpeg,OLIN BX 1628 G67 2005,S,0,In_Order
IMG_0638.jpeg,S,BX 1628 R74 1987,2,Out_of_Order
IMG_0638.jpeg,BX 1628 R74 1987,OLIN BX 1628 .V38 2004,0,In_Order
IMG_0639.jpeg,LIN X 625 H36 2017,OLIN BX 1628 G67 2005,2,Out_of_Order
IMG_0639.jpeg,OLIN BX 1628 G67 2005,BX 1628 R74 1987,0,In_Order
IMG_0639.jpeg,BX 1628 R74 1987,OLIN BX 1628 .V38 2004,0,In_Order
IMG_0639.jpeg,OLIN BX 1628 .V38 2004,OLIN BX 1629 .175 B53 2005,0,In_Order
IMG_0639.jpeg,OLIN BX 1629 .175 B53 2005,OLIN BX 1629 75 B53156 2006,0,In_Order
IMG_0639.jpeg,OLIN BX 1629 75 B53156 2006,OLIN BX 1630 .3 .K35W 1995,0,In_Order
IMG_0639.jpeg,OLIN BX 1630 .3 .K35W 1995,BX 1630 3 K45,0,In_Order
IMG_0640.jpeg,OLIN BX 1629 I75 B53 2005,OLIN BX 1629 75 B53156 2006,0,In_Order
IMG_0640.jpeg,OLIN BX 1629 75 B53156 2006,OLIN BX 1630 .3 .K35W 1995,0,In_Order
IMG_0640.jpeg,OLIN BX 1630 .3 .K35W 1995,BX 1630 3 K45,0,In_Order
IMG_0640.jpeg,BX 1630 3 K45,OLIN BX 1634 .A2 P54 2017,2,Out_of_Order
IMG_0640.jpeg,OLIN BX 1634 .A2 P54 2017,OLIN BX 1644 .2 .G63 G87 2014,0,In_Order
IMG_0640.jpeg,OLIN BX 1644 .2 .G63 G87 2014,OLIN BX 1644 2 M34 M33 1997,0,In_Order
IMG_0640.jpeg,OLIN BX 1644 2 M34 M33 1997,OLIN BX1646 .A53X 1990,2,Out_of_Order
IMG_0640.jpeg,OLIN BX1646 .A53X 1990,BX 1646 P43,0,In_Order
IMG_0640.jpeg,BX 1646 P43,PERERA,2,Out_of_Order
IMG_0640.jpeg,PERERA,OLI BX 1657 A45 1998 CSIC,1,Duplicate
IMG_0641.jpeg,N 44 134 83 997,OLIN BX1646 .A53X 1990,2,Out_of_Order
IMG_0641.jpeg,OLIN BX1646 .A53X 1990,BX 1646 P43,0,In_Order
IMG_0641.jpeg,BX 1646 P43,OLIN BX 1657 A45X 1998,2,Out_of_Order
IMG_0641.jpeg,OLIN BX 1657 A45X 1998,OLIN BX 1665 .Y68 2013,0,In_Order
IMG_0641.jpeg,OLIN BX 1665 .Y68 2013,OLIN BX 1666 .M35 C63 2006,2,Out_of_Order
IMG_0641.jpeg,OLIN BX 1666 .M35 C63 2006,OLIN BX 1675 .A1 A35X 1996,2,Out_of_Order
IMG_0641.jpeg,OLIN BX 1675 .A1 A35X 1996,OLIN BX 1675 .A1 C38X 1994,2,Out_of_Order
IMG_1621.jpeg,OLIN BR 67 .I61 1999 V.4 PEETERS,OLIN BR 67 .I61 1999 v.5,0,In_Order
IMG_1621.jpeg,OLIN BR 67 .I61 1999 v.5,OLIN BR 67 .161 2003 v.1,0,In_Order
IMG_1621.jpeg,OLIN BR 67 .161 2003 v.1,OLIN BR 67 161 2003 V.2,0,In_Order
IMG_1621.jpeg,OLIN BR 67 161 2003 V.2,OLIN BR 67 .161 2003 V.3,0,In_Order
IMG_1621.jpeg,OLIN BR 67 .161 2003 V.3,OLIN BR 67 .161 2003 v.4,0,In_Order
IMG_1621.jpeg,OLIN BR 67 .161 2003 v.4,OLIN BR 67 .161 2003 v.5,0,In_Order
IMG_1621.jpeg,OLIN BR 67 .161 2003 v.5,OLIN BR 67 .161 2007 V.1,0,In_Order
IMG_1621.jpeg,OLIN BR 67 .161 2007 V.1,OLIN BR 67 .161 2007 v.2,0,In_Order
IMG_1621.jpeg,OLIN BR 67 .161 2007 v.2,OLIN BR 67 .161 2007 v.3,0,In_Order
IMG_1621.jpeg,OLIN BR 67 .161 2007 v.3,OLIN BR 67 161 2007 v.4,0,In_Order
IMG_1621.jpeg,OLIN BR 67 161 2007 v.4,OLIN BR 67 .161 2007 v.5,0,In_Order
IMG_1621.jpeg,OLIN BR 67 .161 2007 v.5,OLIN BR 67 .161 2007 v.6,0,In_Order
IMG_1622.jpeg,BR 85 D42 1854,BR 85 D84,0,In_Order
IMG_1622.jpeg,BR 85 D84,BR 85 D84 V5,1,Duplicate
IMG_1622.jpeg,BR 85 D84 V5,BR 85 F54 1968,0,In_Order
IMG_1622.jpeg,BR 85 F54 1968,BR 85 F78 1983 V.4,2,Out_of_Order
IMG_1622.jpeg,BR 85 F78 1983 V.4,BR 85 F78 1983 V.5,0,In_Order
IMG_1622.jpeg,BR 85 F78 1983 V.5,BR 85 F78 1983 V.6,0,In_Order
IMG_1622.jpeg,BR 85 F78 1983 V.6,BR 85 F78 1983 t.7,0,In_Order
IMG_1622.jpeg,BR 85 F78 1983 t.7,B8F1 R5 78 983 V 8,0,In_Order
IMG_1622.jpeg,B8F1 R5 78 983 V 8,EKAOLEIE ANOE 42819196 473616424,0,In_Order
IMG_1622.jpeg,EKAOLEIE ANOE 42819196 473616424,BR 85 F78 1983 V.9,0,In_Order
IMG_1623.jpeg,B BR D42 1854,BR 85 D84,0,In_Order
IMG_1623.jpeg,BR 85 D84,Flew B,0,In_Order
IMG_1623.jpeg,Flew B,BR 85 D84 V5,2,Out_of_Order
IMG_1623.jpeg,BR 85 D84 V5,BR 85 F54 1968,0,In_Order
IMG_1623.jpeg,BR 85 F54 1968,BR 85 F78 1983 V.4,2,Out_of_Order
IMG_1623.jpeg,BR 85 F78 1983 V.4,BR 85 F78 1983 V.5,0,In_Order
IMG_1623.jpeg,BR 85 F78 1983 V.5,BR 85 F78 1983 V.6,0,In_Order
IMG_1623.jpeg,BR 85 F78 1983 V.6,BR 85 F78 1983 t.7,0,In_Order
IMG_1623.jpeg,BR 85 F78 1983 t.7,R5 1983 V 8,0,In_Order
IMG_1623.jpeg,R5 1983 V 8,AOLEIT NOL 20191 58I&AIA,2,Out_of_Order
IMG_1623.jpeg,AOLEIT NOL 20191 58I&AIA,BR 85 F78 1983 V.9,2,Out_of_Order
IMG_1624.jpeg,OLIN BR 67 .N68X 1998,OLIN BR 67 .067 2024,2,Out_of_Order
IMG_1624.jpeg,OLIN BR 67 .067 2024,BR 67 084X 1993,2,Out_of_Order
IMG_1624.jpeg,BR 67 084X 1993,OLIN BR 67 P342 2004,0,In_Order
IMG_1624.jpeg,OLIN BR 67 P342 2004,OLIN BR 67 .P35Z 1994,0,In_Order
IMG_1624.jpeg,OLIN BR 67 .P35Z 1994,OLIN BR 67 .P372 2015,0,In_Order
IMG_1624.jpeg,OLIN BR 67 .P372 2015,OLIN BR 67 P38 2006,2,Out_of_Order
IMG_1624.jpeg,OLIN BR 67 P38 2006,OLIN BR 67 P38 2010,0,In_Order
IMG_1624.jpeg,OLIN BR 67 P38 2010,LeoS. Olschki,1,Duplicate
IMG_1624.jpeg,LeoS. Olschki,OLIN BR 67 .P45X 1993,1,Duplicate
IMG_1624.jpeg,OLIN BR 67 .P45X 1993,BRAPAAEMNIPIER EALANAAUURY,0,In_Order
IMG_1624.jpeg,BRAPAAEMNIPIER EALANAAUURY,OLIN BR 67 .P454X 1997,2,Out_of_Order
IMG_1625.jpeg,8R1515 1962,BR 115 H5 B982,2,Out_of_Order
IMG_1625.jpeg,BR 115 H5 B982,BR155C,0,In_Order
IMG_1625.jpeg,BR155C,BR 115 H5 C58x 1990,2,Out_of_Order
IMG_1625.jpeg,BR 115 H5 C58x 1990,OLIN BR 115 .H5 C59 2010,0,In_Order
IMG_1625.jpeg,OLIN BR 115 .H5 C59 2010,90000 S84 0-8298-0944-9,2,Out_of_Order
IMG_1625.jpeg,90000 S84 0-8298-0944-9,R1515 C7,0,In_Order
IMG_1625.jpeg,R1515 C7,BR 115 H5 C75,0,In_Order
IMG_1626.jpeg,OLIN BR 63 .T42 2002,OLIN BR 63 T47 2013,0,In_Order
IMG_1626.jpeg,OLIN BR 63 T47 2013,OLIN BR 63 .U66z 1991,0,In_Order
IMG_1626.jpeg,OLIN BR 63 .U66z 1991,BR 63 W94 192,0,In_Order
IMG_1626.jpeg,BR 63 W94 192,BP 63 Y45 M47x 1993,2,Out_of_Order
IMG_1626.jpeg,BP 63 Y45 M47x 1993,OLIN BR 65 .A2763 E6534 2011,0,In_Order
IMG_1626.jpeg,OLIN BR 65 .A2763 E6534 2011,OLIN BR 65 A2766 W35 2006,0,In_Order
IMG_1626.jpeg,OLIN BR 65 A2766 W35 2006,OLIN BR 65 .A31 I8 1977 V.22z,2,Out_of_Order
IMG_1626.jpeg,OLIN BR 65 .A31 I8 1977 V.22z,OLIN BR 65 .A31z 1977 V.27,0,In_Order
IMG_1626.jpeg,OLIN BR 65 .A31z 1977 V.27,OLIN BR 65 .A312 G47 2020,2,Out_of_Order
IMG_1626.jpeg,OLIN BR 65 .A312 G47 2020,OLIN BR 65 .A313 D3413 2005 T.1,0,In_Order
IMG_1626.jpeg,OLIN BR 65 .A313 D3413 2005 T.1,OLIN BR 65 .A313 D3413 2005 T.2,0,In_Order
IMG_1627.jpeg,OLIN BR 65 .C86 S43X 1993,OLIN BR 65 .C886 H66x 2001,2,Out_of_Order
IMG_1627.jpeg,OLIN BR 65 .C886 H66x 2001,OLIN BR 65 .C933 C47x 1999,0,In_Order
IMG_1627.jpeg,OLIN BR 65 .C933 C47x 1999,OLIN BR 65 C936 B76 2013,0,In_Order
IMG_1627.jpeg,OLIN BR 65 C936 B76 2013,OLIN BR 65 .C95 2016 v.1 pt.1,2,Out_of_Order
IMG_1627.jpeg,OLIN BR 65 .C95 2016 v.1 pt.1,OLIN BR 65 C95 2016 v.1 pt.2,0,In_Order
IMG_1627.jpeg,OLIN BR 65 C95 2016 v.1 pt.2,OLIN BR 65 C952 E5 2013,0,In_Order
IMG_1627.jpeg,OLIN BR 65 C952 E5 2013,ST.CYRIL OFALEX ANDRIA THREE CHRISTO LOGICAL TREATISES,0,In_Order
IMG_1627.jpeg,ST.CYRIL OFALEX ANDRIA THREE CHRISTO LOGICAL TREATISES,OL IN BR 65 .C952 E5x 2000,2,Out_of_Order
IMG_1627.jpeg,OL IN BR 65 .C952 E5x 2000,OLIN BR 65 C953 C6615 2023 Bd.1,0,In_Order
IMG_1627.jpeg,OLIN BR 65 C953 C6615 2023 Bd.1,OLIN BR 65 C953 C6615 2023 Bd.2,0,In_Order
IMG_1627.jpeg,OLIN BR 65 C953 C6615 2023 Bd.2,OLIN BR 65 .C953 D433 2021 v.1,2,Out_of_Order
IMG_1627.jpeg,OLIN BR 65 .C953 D433 2021 v.1,OLIN BR 65 .C956 C73 2014,0,In_Order
IMG_1627.jpeg,OLIN BR 65 .C956 C73 2014,OLIN BR 65 .C956 D45 2006,0,In_Order
IMG_1628.jpeg,OLIN BR 749 .B452z 1999 v.1,OLIN BR 749 .B53 2005,0,In_Order
IMG_1628.jpeg,OLIN BR 749 .B53 2005,OLIN BR 749 .B55 2014,0,In_Order
IMG_1628.jpeg,OLIN BR 749 .B55 2014,OLIN BR 749 C38x 1999,0,In_Order
IMG_1628.jpeg,OLIN BR 749 C38x 1999,OLIN BR 749 .C48x 2000 v.1,0,In_Order
IMG_1628.jpeg,OLIN BR 749 .C48x 2000 v.1,OLIN BR 749 .C48x 2000 v.2,0,In_Order
IMG_1628.jpeg,OLIN BR 749 .C48x 2000 v.2,OLIN BR 749 .C83x 1995,0,In_Order
IMG_1628.jpeg,OLIN BR 749 .C83x 1995,OLIN BR 749 .E3x 1971,0,In_Order
IMG_1628.jpeg,OLIN BR 749 .E3x 1971,OLIN BR 749 .G46 2009,0,In_Order
IMG_1628.jpeg,OLIN BR 749 .G46 2009,OLIN BR 749 .G53 2007,2,Out_of_Order
IMG_1628.jpeg,OLIN BR 749 .G53 2007,BR 749 G58,0,In_Order
IMG_1628.jpeg,BR 749 G58,OLIN BR 749 .H47 2002,2,Out_of_Order
IMG_1629.jpeg,OLIN BR 750 .B87 2012,BR 750 C23 C.2,0,In_Order
IMG_1629.jpeg,BR 750 C23 C.2,OLIN BR 750 .C45z 2000,0,In_Order
IMG_1629.jpeg,OLIN BR 750 .C45z 2000,OLIN BR 750 .C474 2025,0,In_Order
IMG_1629.jpeg,OLIN BR 750 .C474 2025,OLIN BR 750 C51 F9,0,In_Order
IMG_1629.jpeg,OLIN BR 750 C51 F9,BR 750 C51 M4,0,In_Order
IMG_1629.jpeg,BR 750 C51 M4,OLIN BR 750 .C51 P2 1982,0,In_Order
IMG_1629.jpeg,OLIN BR 750 .C51 P2 1982,BR 750 D41,0,In_Order
IMG_1629.jpeg,BR 750 D41,BR 750 E26 1967,0,In_Order
IMG_1629.jpeg,BR 750 E26 1967,OLIN BR 750 .E54X 1999,2,Out_of_Order
IMG_1629.jpeg,OLIN BR 750 .E54X 1999,OLIN BR 750 E541,0,In_Order
IMG_1630.jpeg,0 73 74,BS 410 F73 5,0,In_Order
IMG_1630.jpeg,BS 410 F73 5,BS 410 F73 no.76,2,Out_of_Order
IMG_1630.jpeg,BS 410 F73 no.76,BS 410 F73 no.79,0,In_Order
IMG_1630.jpeg,BS 410 F73 no.79,BS 410 F73 no.123,0,In_Order
IMG_1630.jpeg,BS 410 F73 no.123,BS 410 F73 no.129,0,In_Order
IMG_1630.jpeg,BS 410 F73 no.129,BS 410 F73 no.130 v.2,0,In_Order
IMG_1630.jpeg,BS 410 F73 no.130 v.2,OLIN BS 410 F73 no.157,0,In_Order
IMG_1630.jpeg,OLIN BS 410 F73 no.157,OLIN BS 410 .F73 158. Heft,2,Out_of_Order
IMG_1630.jpeg,OLIN BS 410 .F73 158. Heft,OLIN BS 410 .F73 .160z,0,In_Order
IMG_1630.jpeg,OLIN BS 410 .F73 .160z,DLIN 3S 110 F73 o.161,2,Out_of_Order
IMG_1631.jpeg,OLIN BS 1235 .2 .L39X 1995,OLIN BS 1235 .2 .L553X 1999,0,In_Order
IMG_1631.jpeg,OLIN BS 1235 .2 .L553X 1999,OLIN BS 1235 .2 .L56 2005,0,In_Order
IMG_1631.jpeg,OLIN BS 1235 .2 .L56 2005,OLIN BS 1235 .2 .L67 1968,0,In_Order
IMG_1631.jpeg,OLIN BS 1235 .2 .L67 1968,BS 1235 2 L69,0,In_Order
IMG_1631.jpeg,BS 1235 2 L69,BS 1235 .2 L84,2,Out_of_Order
IMG_1631.jpeg,BS 1235 .2 L84,OLIN BS 1235 .2 .M33W 1996,2,Out_of_Order
IMG_1631.jpeg,OLIN BS 1235 .2 .M33W 1996,OLIN BS 1235 .2 .M67x 2000,0,In_Order
IMG_1631.jpeg,OLIN BS 1235 .2 .M67x 2000,BS 1235 .2 M82 1962,2,Out_of_Order
IMG_1631.jpeg,BS 1235 .2 M82 1962,OLIN BS 1235 .2 .M68X 1996,2,Out_of_Order
IMG_1631.jpeg,OLIN BS 1235 .2 .M68X 1996,OLIN BS 1235 .2 .N38 1997z,0,In_Order
IMG_1631.jpeg,OLIN BS 1235 .2 .N38 1997z,BS 1235 2 027,0,In_Order
IMG_1632.jpeg,BS 2825 .5 C71 1976,OLIN ICE BS 2825 5 075 1999,0,In_Order
IMG_1632.jpeg,OLIN ICE BS 2825 5 075 1999,OLIN BS 2825 52 .A45 2017,0,In_Order
IMG_1632.jpeg,OLIN BS 2825 52 .A45 2017,LIN BS 2825 52 A96 006x,0,In_Order
IMG_1632.jpeg,LIN BS 2825 52 A96 006x,OLIN BS 2825 .52 .A78 2019,2,Out_of_Order
IMG_1632.jpeg,OLIN BS 2825 .52 .A78 2019,OLIN BS 2825 .52 .B43 2018,2,Out_of_Order
IMG_1632.jpeg,OLIN BS 2825 .52 .B43 2018,OLIN BS 2825 .52 .B474 2018,1,Duplicate
IMG_1632.jpeg,OLIN BS 2825 .52 .B474 2018,OLIN BS 2825 52 .B53x 2001,0,In_Order
IMG_1632.jpeg,OLIN BS 2825 52 .B53x 2001,BARCLAY,1,Duplicate
IMG_1632.jpeg,BARCLAY,OLIN BS 2825 .52 B54 2004,2,Out_of_Order
IMG_1632.jpeg,OLIN BS 2825 .52 B54 2004,OLIN BS 2825 .52 .B646 2016,0,In_Order
IMG_1632.jpeg,OLIN BS 2825 .52 .B646 2016,OLIN BS 2825 .52 .B647 2015,2,Out_of_Order
IMG_1632.jpeg,OLIN BS 2825 .52 .B647 2015,OLIN BS 2825 .52 .C46 2016,0,In_Order
